T	x(Al)	x(Zn)	phase_name	f(@FCC_A1#1)	f(@FCC_A1#2)	f(@HCP_A3)	f(@Liquid)	G	H	S
K	mole/mole	mole/mole								
550.7211448	0.09559618994	0.9044038101	FCC_A1+HCP_A3+FCC_A1	0	0.09548907409	0.9045109259		-24548.53898	7119.031727	57.50200625
550.7211449	0.1155961899	0.8844038101	FCC_A1+HCP_A3+FCC_A1	0	0.119314808	0.880685192		-24408.18286	7145.315225	57.29487305
550.7211449	0.1355961899	0.8644038101	FCC_A1+HCP_A3+FCC_A1	0	0.1431405419	0.8568594581		-24267.82673	7171.598719	57.08773985
550.7211449	0.1555961899	0.8444038101	FCC_A1+HCP_A3+FCC_A1	0	0.1669662757	0.8330337243		-24127.4706	7197.882215	56.88060665
550.7211449	0.1755961899	0.8244038101	FCC_A1+HCP_A3+FCC_A1	0	0.1907920096	0.8092079904		-23987.11447	7224.16571	56.67347345
550.7211448	0.1955961899	0.8044038101	FCC_A1+HCP_A3+FCC_A1	0	0.2146177435	0.7853822565		-23846.75834	7250.449202	56.46634025
550.7211448	0.2155961899	0.7844038101	FCC_A1+HCP_A3+FCC_A1	0	0.2384434774	0.7615565226		-23706.40221	7276.732699	56.25920705
550.7211448	0.2355961899	0.7644038101	FCC_A1+HCP_A3+FCC_A1	0	0.2622692112	0.7377307888		-23566.04608	7303.016192	56.05207385
550.7211449	0.2555961899	0.7444038101	FCC_A1+HCP_A3+FCC_A1	0	0.2860949452	0.7139050548		-23425.68996	7329.299693	55.84494066
550.7211448	0.2755961899	0.7244038101	FCC_A1+HCP_A3+FCC_A1	0	0.309920679	0.690079321		-23285.33383	7355.583185	55.63780745
550.7211448	0.2955961899	0.7044038101	FCC_A1+HCP_A3+FCC_A1	0	0.3337464129	0.6662535871		-23144.9777	7381.866678	55.43067425
550.7211448	0.3155961899	0.6844038101	FCC_A1+HCP_A3+FCC_A1	0	0.3575721468	0.6424278532		-23004.62157	7408.150176	55.22354105
550.7211447	0.3355961899	0.6644038101	FCC_A1+HCP_A3+FCC_A1	0	0.3813978806	0.6186021194		-22864.26544	7434.433668	55.01640785
550.7211448	0.3555961899	0.6444038101	FCC_A1+HCP_A3+FCC_A1	0	0.4052236145	0.5947763855		-22723.90931	7460.717165	54.80927465
